Word,Time_s,F1_Hz,F2_Hz,F3_Hz,F4_Hz
your,0.694312,940.263851,1769.055088,2782.550521,3895.854705
your,0.700562,953.472082,1898.863332,2784.977273,3825.249695
your,0.706812,768.584149,1957.771796,2759.070422,4474.637116
your,0.713062,907.538803,2615.414866,2665.24102,4839.13274
your,0.719312,75.846811,1096.311633,2755.829564,3268.116649
your,0.725562,236.054359,1373.964941,2764.282033,3452.379078
your,0.731812,231.361755,1642.995598,2795.694448,3408.31293
your,0.738062,232.502632,1721.139553,2699.460375,3351.41222
your,0.744312,260.417347,2147.07422,2527.403796,3154.699555
your,0.750562,285.307875,2512.792159,2513.773806,2972.419652
your,0.756812,316.943016,2514.96428,2835.814174,4213.731921
your,0.763062,355.89484,2450.684267,2761.575106,4212.421152
your,0.769312,390.116705,2333.441208,2725.457108,4270.220878
your,0.775562,410.825558,2128.887907,2628.507018,3636.079847
your,0.781812,419.39606,2037.672556,2593.164409,3712.124856
your,0.788062,416.426562,1993.922493,2447.902006,3592.573739
your,0.794312,401.059356,1826.699255,2541.686362,3609.649694
your,0.800562,396.402601,1610.964293,2572.474738,3562.910606
your,0.806812,404.435299,1456.931058,2561.444242,3485.919875
your,0.813062,417.851172,1421.920547,2589.901984,3524.555541
your,0.819312,453.017668,1403.107337,2611.473029,3387.601456
your,0.825562,484.706605,1338.2318,2581.173495,3114.711011
your,0.831812,504.75296,1263.650537,2498.869551,3189.346993
your,0.838062,509.750968,1301.664537,2548.839842,2847.294785
your,0.844312,508.825917,1288.275237,2540.43372,2979.175306
your,0.850562,512.619851,1295.807799,2526.387653,3044.729449
your,0.856812,514.403233,1245.773997,2487.627641,3056.977241
your,0.863062,517.487044,1238.386041,2396.824081,3191.609349
your,0.869312,522.895359,1226.692475,2411.730927,3115.393854
your,0.875562,532.652985,1424.929884,2434.302843,4167.093174
your,0.881812,490.261569,1456.092696,2450.426663,4106.63227
your,0.888062,442.217051,1420.046059,2495.664432,2642.485676
your,0.894312,406.064785,1431.746834,2540.22406,2723.881834
your,0.900562,380.027174,1456.371049,2640.485868,2873.008366
your,0.906812,365.461653,1462.997621,2660.843694,3044.467858
your,0.913062,335.766372,1466.969691,2665.41281,2904.289947
your,0.919312,298.796122,1474.59562,2741.77571,4046.614244
your,0.925562,281.327801,1462.800563,2727.090229,3876.742157
your,0.931812,253.82065,1367.786277,2569.820138,3639.783049
your,0.938062,236.137421,1371.986897,2497.705572,3665.799949
your,0.944312,240.562451,1515.519919,2430.025237,3780.597692
your,0.950562,238.706277,1509.87622,2531.065423,3617.033027
your,0.956812,247.220846,1714.595993,2458.767668,3879.500897
your,0.963062,251.390456,1548.466885,2239.828758,3952.874381
your,0.969312,250.025356,1482.818426,2516.103672,3773.017835
your,0.975562,232.033614,1467.435503,2571.964275,3652.792633
your,0.981812,230.468067,1451.378155,2469.803357,3305.321377
your,0.988062,225.310081,1465.183053,2416.88098,3567.353713
your,0.994312,238.212865,1475.724957,2464.111747,3046.755944
your,1.000562,229.375168,1342.914538,2327.129115,3019.90435
good,1.006812,221.11545,1356.306772,2348.981014,3292.725779
good,1.013062,59.51855,1409.230385,2348.210391,3941.207746
good,1.019312,1384.963422,2291.371696,--undefined--,--undefined--
good,1.025562,849.721168,1622.778369,2558.937105,4048.212956
good,1.031812,503.189192,1528.380503,2444.054354,4103.059814
good,1.038062,351.514551,1509.381899,2325.069753,4115.489776
good,1.044312,435.823029,1994.952928,2342.78624,4110.859454
good,1.050562,447.35293,2088.619307,2344.397099,4207.131204
good,1.056812,324.11341,2030.482075,2336.261386,4291.35645
good,1.063062,355.965079,1861.96653,2372.982025,3661.167222
good,1.069312,394.314325,1673.331428,2314.777566,3540.510656
good,1.075562,413.057745,1833.724449,2286.021334,3530.012258
good,1.081812,426.442149,2207.046603,2679.377064,4079.752922
good,1.088062,431.354109,2250.947861,3186.922911,4295.948367
good,1.094312,447.017582,2290.202125,3080.675913,4521.456465
good,1.100562,450.74212,2344.529251,3385.368418,4472.458343
good,1.106812,454.002517,2365.057224,3184.022299,4514.325697
good,1.113062,452.405792,2339.200919,3113.124848,4558.483736
