Word,Time_s,Intensity_dB
your,0.693703,48.594452
your,0.69922,46.364876
your,0.704738,47.189873
your,0.710255,49.159448
your,0.715772,50.950736
your,0.721289,55.451136
your,0.726807,62.116366
your,0.732324,66.5827
your,0.737841,68.507077
your,0.743358,69.509427
your,0.748876,71.161707
your,0.754393,72.990885
your,0.75991,74.296387
your,0.765427,75.203103
your,0.770945,76.049675
your,0.776462,77.092053
your,0.781979,78.090005
your,0.787496,78.356472
your,0.793014,77.759645
your,0.798531,77.186685
your,0.804048,77.080791
your,0.809565,76.902921
your,0.815082,76.730621
your,0.8206,76.763117
your,0.826117,77.017415
your,0.831634,77.154738
your,0.837151,77.144816
your,0.842669,77.04269
your,0.848186,76.927058
your,0.853703,76.90213
your,0.85922,76.816734
your,0.864738,76.607051
your,0.870255,76.29904
your,0.875772,75.810525
your,0.881289,75.233484
your,0.886807,74.695949
your,0.892324,74.292225
your,0.897841,73.948161
your,0.903358,73.250032
your,0.908876,72.089282
your,0.914393,70.981067
your,0.91991,70.676595
your,0.925427,70.609606
your,0.930945,70.179693
your,0.936462,69.911909
your,0.941979,69.842701
your,0.947496,69.439243
your,0.953014,68.541154
your,0.958531,66.969668
your,0.964048,65.362667
your,0.969565,64.431702
your,0.975082,63.504215
your,0.9806,62.255399
your,0.986117,60.565134
your,0.991634,59.272913
your,0.997151,59.305371
your,1.002669,58.33
good,1.00552,57.109401
good,1.011038,55.260111
good,1.016555,54.098575
good,1.022072,51.826126
good,1.027589,50.098511
good,1.033107,51.572543
good,1.038624,53.200138
good,1.044141,57.466831
good,1.049658,62.126626
good,1.055176,67.793497
good,1.060693,72.790616
good,1.06621,75.775272
good,1.071727,77.159099
good,1.077245,77.738443
good,1.082762,78.147599
good,1.088279,78.654734
good,1.093796,79.153784
good,1.099313,79.510889
good,1.104831,79.775686
good,1.110348,80.105842
good,1.115865,80.471229
good,1.121382,80.695116
good,1.1269,80.582468
good,1.132417,80.048559
good,1.137934,78.917237
good,1.143451,76.98812
good,1.148969,74.450486
good,1.154486,71.938853
good,1.160003,69.546336
good,1.16552,67.164082
good,1.171038,65.552258
good,1.176555,65.255948
good,1.182072,65.366435
good,1.187589,65.074404
good,1.193107,63.822769
good,1.198624,61.274158
good,1.204141,57.800783
good,1.209658,54.296657
good,1.215176,54.239989
good,1.220693,55.298315
good,1.22621,56.008539
good,1.231727,56.716077
good,1.237245,56.614968
pants,1.242762,56.607023
pants,1.248279,56.124914
pants,1.253796,54.637493
pants,1.259313,53.16279
pants,1.264831,51.36902
pants,1.270348,49.32823
pants,1.275865,49.274694
pants,1.281382,50.058233
pants,1.2869,51.263715
pants,1.292417,52.010057
pants,1.297934,51.599245
pants,1.303451,52.04371
pants,1.308969,54.130205
pants,1.314486,56.748367
pants,1.320003,57.992656
pants,1.32552,57.827174
pants,1.331038,57.869633
pants,1.336555,58.17677
pants,1.342072,57.807891
pants,1.347589,57.807891
pants,1.353107,58.73871
pants,1.358624,59.216268
pants,1.364141,58.990328
pants,1.369658,58.479046
pants,1.375176,58.370886
pants,1.380693,58.718936
pants,1.38621,58.387168
pants,1.391727,58.270945
pants,1.397245,61.309589
pants,1.402762,66.942072
pants,1.408279,70.793586
pants,1.413796,71.980557
pants,1.419313,70.881423
pants,1.424831,68.385146
pants,1.430348,67.534125
pants,1.435865,69.142479
pants,1.441382,70.380648
pants,1.4469,70.647566
pants,1.452417,70.459222
pants,1.457934,70.914748
pants,1.463451,72.078286
pants,1.468969,72.796881
pants,1.474486,72.650142
pants,1.480003,72.11184
pants,1.48552,71.740319
pants,1.491038,71.319208
pants,1.496555,70.39248
pants,1.502072,68.996254
pants,1.507589,67.872009
pants,1.513107,67.083838
pants,1.518624,66.693569
pants,1.524141,67.036159
pants,1.529658,68.032832
pants,1.535176,69.390534
pants,1.540693,70.315726
pants,1.54621,70.478048
pants,1.551727,70.653625
pants,1.557245,70.98222
pants,1.562762,70.882889
pants,1.568279,70.882889
pants,1.573796,70.687751
pants,1.579313,70.398204
pants,1.584831,70.170107
pants,1.590348,70.271368
pants,1.595865,70.471218
pants,1.601382,70.952037
pants,1.6069,71.457126
pants,1.612417,71.585232
pants,1.617934,71.322714
pants,1.623451,70.320204
pants,1.628969,68.740177
pants,1.634486,67.933627
pants,1.640003,68.070647
pants,1.64552,68.319749
pants,1.651038,68.923998
pants,1.656555,69.840084
pants,1.662072,70.759714
pants,1.667589,70.933379
pants,1.673107,70.807377
pants,1.678624,70.509025
pants,1.684141,70.004909
pants,1.689658,70.145
pants,1.695176,70.941039
pants,1.700693,71.130684
pants,1.70621,70.622151
pants,1.711727,69.524721
look,1.717245,67.906838
look,1.722762,65.285718
look,1.728279,61.516138
look,1.733796,61.804599
